brand,model,price,rating,os,ram_gb,cpu_brand,cpu_name,cpu_speed_ghz,cpu_gen,cpu_cores,cpu_threads,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,cpu_family,cpu_series,cpu_model_id,cpu_suffix,storage_gb,storage_type,secondary_storage,gpu_brand,gpu_name,gpu_vram_gb,gpu_type,gpu_series,gpu_model_id,display_size_inch,display_width_px,display_height_px,display_ppi,screen_resolution,is_touchscreen,has_ips_panel,has_retina_display,color,special_features,device_category,ram_type,warranty,weight,rating_review_text,total_processors,execution_units,energy_eff_units,low_power_cores,graphics_integrated,source_file
Gateway,,$155.00 ,4.0,Windows 10 S,4 GB,,Celeron N4020,1.1 GHz,,,,,,,,,,,64 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,FX506HF-ES51,$699.99 ,4.5,Windows 11 Home,8 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Graphite Black,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Thin GF63 12VE-066US,$938.00 ,4.5,Windows 11 Home,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,RTX 4050,,,,,15.6 Inches,,,,,,,,,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,IdeaPad 3 81X800ENUS,$419.00 ,4.3,Windows 11,20 GB,,Core i3,,,,,,,,,,,,256 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Almond,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,IdeaPad Gaming 3,$801.96 ,4.3,Windows 11 Home,8 GB,,Ryzen 5,,,,,,,,,,,,256 GB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Onyx Grey,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix G16,"$1,799.99 ",4.5,Windows 11 Home,16 GB,,Intel Core i9,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,16 Inches,,,,,,,,Eclipse Gray,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,Chromebook 14a-na0226nr,$249.00 ,4.4,Chrome OS,4 GB,,Celeron,,,,,,,,,,,,64,,,,Integrated,,,,,14 Inches,,,,,,,,Mineral Silver,Anti-Glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,TPN-I139_320M3AV,$510.00 ,4.6,Windows 11 Home,32 GB,,Core i3 Family,,,,,,,,,,,,1 TB,,,,Integrated,,,,,17.3 Inches,,,,,,,,Silver,HD Audio,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,i5 12th Gen 15-dy5399nr,$527.15 ,4.3,Windows 11 Home,16 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Micro-edge Bezel,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix G16,"$2,199.00 ",4.3,Windows 11 Pro,32 GB,,Core i9,5.6 GHz,,,,,,,,,,,,,,,Dedicated,,,,,16 Inches,,,,,,,,Eclipse Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Stealth GS66 12UGS-025,"$1,699.00 ",1.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Vector GP66 12UGS-267,"$1,599.00 ",5.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.66 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,IdeaPad,$359.00 ,4.3,Windows 11 Home,20 GB,,Core i3 Family,,,,,,,,,,,,1 TB,,,,Integrated,,,,,14 Inches,,,,,,,,Grey,Dolby,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP Chromebook,$209.99 ,3.8,Chrome OS,4 GB,,Celeron N,,,,,,,,,,,,64 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,Ideapad 3i,$637.35 ,4.5,Windows 11 Pro,8 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Arctic Grey,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Inspiron,$439.00 ,4.1,Windows 11 Home,16 GB,,Celeron N4020,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,CP314-1H-P1Q5,$372.66 ,4.3,Chrome OS,8 GB,,Pentium,,,,,,,,,,,,128 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Katana 15 B13VGK-484US,"$1,429.00 ",4.3,Windows 11 Home,16 GB,,Core i7,,,,,,,,,,,,1 TB,,,,RTX 4070,,,,,15.6 Inches,,,,,,,,,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,IdeaPad 3,$281.69 ,4.5,Windows 11 S,8 GB,,Core i3 Family,,,,,,,,,,,,128 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Gray,"Dolby,Narrow Bezel",,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ASUS Vivobook Go 15,$236.47 ,4.1,Windows 11 S,4 GB,,Celeron,,,,,,,,,,,,64 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Star Black,Thin-bezel,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP Laptop 15-ef2024nr,$337.96 ,4.5,Windows 11 Home,8 GB,,Ryzen 3,,,,,,,,,,,,256 GB,,,,Integrated,,,,,15 Inches,,,,,,,,Natural silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,UX5304VA-XS76T,"$1,399.99 ",4.3,Windows 11 Pro,32 GB,,Core i7,,,,,,,,,,,,1 TB,,,,Integrated,,,,,13.3 Inches,,,,,,,,Gray,Dolby,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix G15,"$1,044.77 ",4.6,Windows 11 Home,16 GB,,AMD Ryzen 7,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Eclipse Gray,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,IdeaPad 3,$294.29 ,4.2,Chrome OS,8 GB,,Celeron P4500,,,,,,,,,,,,64 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,Narrow,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,"2023 Newest Acer 15.6"" Chromebook",$224.00 ,4.2,Chrome OS,4 GB,,Celeron N4020,,,,,,,,,,,,64 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Anti-glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,Chromebook C425 Clamshell,$225.82 ,4.3,Chrome OS,4 GB,,Celeron N4020,,,,,,,,,,,,128 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Silver,"Anti-glare,Ultra-narrow Bezel",,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,Flex 5,$539.99 ,4.2,Windows 11 Home,16 GB,,AMD Ryzen 5 5500U,2.1 GHz,,,,,,,,,,,256 GB,,,,Integrated,,,,,14 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,A115-32-C96U,$229.99 ,4.3,Windows 11 S,4 GB,,Celeron N,,,,,,,,,,,,128 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Flow Z13,"$1,749.99 ",4.4,Windows 11 Home,16 GB,,Core i9,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,13.4 Inches,,,,,,,,Black,Stylus,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP,$465.00 ,4.5,Windows 11 Home,16 GB,,Core i3-1115G4E,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Touchscreen,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix SCAR 16,"$3,349.00 ",4.1,Windows 11 Pro,32 GB,,Core i9,,,,,,,,,,,,2 TB,,,,Dedicated,,,,,16 Inches,,,,,,,,Off Black,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix SCAR 18,"$3,899.00 ",4.3,Windows 11 Pro,32 GB,,Intel Core i9,,,,,,,,,,,,2 TB,,,,Dedicated,,,,,18 Inches,,,,,,,,Black,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Stealth GS66 12UGS-025,"$1,699.00 ",1.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Vector GP66 12UGS-267,"$1,599.00 ",5.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.66 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
LG,17Z90Q-K.ADB9U1,"$1,734.71 ",4.3,Windows 11 Home,32 GB,,Core i7,,,,,,,,,,,,2 TB,,,,Intel XE,,,,,17 Inches,,,,,,,,Black,Lightweight,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Flow Z13,"$2,499.99 ",4.2,Windows 11 Pro,32 GB,,Core i9,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,13.4 Inches,,,,,,,,Acronym,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,Chromebook,$114.74 ,4.3,Chrome OS,4 GB,,MediaTek MT8183,,,,,,,,,,,,32 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Black,Anti-glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
Microsoft,Surface Laptop,"$1,084.66 ",4.4,Windows 11 Home,16 GB,,Intel Core i7,,,,,,,,,,,,512 GB,,,,Integrated,,,,,15 Inches,,,,,,,,Platinum,"Backlit Keyboard, Support Stylus",,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,TUF Dash 15 (2022),"$1,150.99 ",4.5,Windows 11 Home,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,RTX 3060,,,,,15.6 Inches,,,,,,,,Off Black,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,TUF Gaming A15,"$1,149.00 ",4.3,Windows 11 Home,16 GB,,Ryzen 7,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Mecha Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,14-dq0070nr,$199.99 ,4.3,Windows 11 S,4 GB,,Celeron N4020,,,,,,,,,,,,64 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Pale rose gold,Micro-edge Bezel,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix Scar 17,"$2,619.99 ",4.1,Windows 11 Pro,32 GB,,Ryzen 9,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,17.3 Inches,,,,,,,,Off Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,A3SP14-31PT-37NV,$426.64 ,4.5,Windows 11 S,8 GB,,Core i3,,,,,,,,,,,,128 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Silver,Pen,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ASUS TUF Gaming F1,$783.95 ,4.5,Windows 11 Home,8 GB,,Core i5,,,,,,,,,,,,512 GB,,,,RTX 3050,,,,,17.3 Inches,,,,,,,,Graphite Black,Numeric Keypad,,,,,,,,,,,amazon_laptop_prices_v01.csv
Lenovo,IdeaPad Flex 5i Chromebook,$479.00 ,4.4,Chrome OS,8 GB,,Core i3,,,,,,,,,,,,128 GB,,,,Integrated,,,,,13.3 Inches,,,,,,,,Abyss Blue,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$553.00 ,4.1,Windows 11,16 GB,,Intel Core i5,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Anti-glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
Dell,Dell Latitude,$399.00 ,4.0,Windows 10 Pro,16 GB,,Core i7-8650U,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Black,TrackPoint,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,Chromebook 11 G9 EE,$271.99 ,5.0,Chrome OS,4 GB,,Celeron,2.6 GHz,,,,,,,,,,,,,,,UHD Graphics,,,,,11.6 Inches,,,,,,,,,Anti-glare Screen,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Stealth GS66 12UGS-025,"$1,699.00 ",1.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Vector GP66 12UGS-267,"$1,599.00 ",5.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.66 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,Swift Go 14,$762.19 ,4.3,Windows 11 Home,16 GB,,Intel Core i7-1355U,,,,,,,,,,,,512 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Silver,"Fingerprint Reader, Backlit Keyboard",,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,VivoBook S 15,$989.99 ,3.7,Windows 11 Home,16 GB,,Core i9,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Midnight Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Apple,MacBook Pro,"$1,899.00 ",4.7,macOS 12 Monterey,32 GB,,ARM 7100,,,,,,,,,,,,512 GB,,,,Integrated,,,,,16.2 Inches,,,,,,,,Space Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,Aspire 5,$488.94 ,4.4,Windows 11,8 GB,,AMD Ryzen 5 5500U,,,,,,,,,,,,256 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)","$1,459.94 ",4.8,macOS 12 Monterey,16 GB,,Apple M1,,,,,,,,,,,,512 GB,,,,Integrated,,,,,13.6 Inches,,,,,,,,,Fingerprint Reader,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$389.99 ,4.7,Windows 11,16 GB,,Celeron N4000,1.1 GHz,,,,,,,,,,,64 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Rose Gold,,,,,,,,,,,,amazon_laptop_prices_v01.csv
SAMSUNG,NP754XFG-KB1US,"$1,099.99 ",4.8,Windows 11 Pro,16 GB,,Core i7,,,,,,,,,,,,16 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Microsoft,Surface Laptop Studio 2,"$3,699.99 ",,Windows 11 Home,64 GB,,Core i7-13700K,,,,,,,,,,,,2 TB,,,,NVIDIA® GeForce RTX™ 4060,,,,,14.4 Inches,,,,,,,,Platinum,Portable,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,Zenbook 15,"$1,299.00 ",4.3,Windows 11 Home,32 GB,,Ryzen 7,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Basalt Grey,Dolby,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
SAMSUNG,Galaxy Book3 Pro,"$1,199.00 ",4.4,,,,,,,,,,,,,,,,,,,,,,,,,14 Inches,,,,,,,,Graphite,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Apple,MacBook Pro,"$1,457.99 ",4.7,macOS 12 Monterey,16 GB,,Apple M1,3.4 GHz,,,,,,,,,,,256 GB,,,,Integrated,,,,,13 Inches,,,,,,,,,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,HP 15 scarlet red,$469.00 ,4.3,Windows 11 Home,16 GB,,Celeron,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Carlisle FoodService Products,ASUS VivoBook L203,$134.90 ,4.2,Windows 10 S,4 GB,,Celeron N4000,,,,,,,,,,,,64 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Gigabyte,G5 KF-E3US333SH,$879.99 ,4.0,Windows 11 Home,8 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,Vivobook 15X,$749.99 ,5.0,Windows 11 Home,16 GB,,Ryzen 7,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Indie Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,Chromebook Spin,$226.00 ,4.5,Chrome OS,4 GB,,Celeron N4000,,,,,,,,,,,,64 GB,,,,Integrated,,,,,11.6 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Stealth GS66 12UGS-025,"$1,699.00 ",1.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
DELL,Inspiron,$899.99 ,,Windows 11,32 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,16 Inches,,,,,,,,Silver,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
